,latitude,longitude,t2m,tp,swvl1
22656,1,3293,245.26642,2.0816922e-05,0.20145762
22657,1,3293,243.81552,0.0,0.20145762
22658,1,3294,241.76894,2.862513e-05,0.20150438
22659,1,3294,242.64685,7.287413e-05,0.20150438
22660,1,3294,241.8512,2.0816922e-05,0.20150438
22661,1,3294,242.49652,0.0,0.20150438
22662,1,3294,242.94327,2.6002526e-06,0.20150438
22663,1,3294,245.26642,2.0816922e-05,0.20150438
22664,1,3294,243.81836,0.0,0.20150438
22665,1,3295,241.76894,2.862513e-05,0.20155112
22666,1,3295,242.64685,7.287413e-05,0.20155112
22667,1,3295,241.8512,2.0816922e-05,0.20155112
22668,1,3295,242.49652,0.0,0.20155112
22669,1,3295,242.9461,2.6002526e-06,0.20155112
22670,1,3295,245.26642,2.0816922e-05,0.20155112
22671,1,3295,243.81836,0.0,0.20155112
22672,1,3296,241.76752,2.862513e-05,0.20159788
22673,1,3296,242.64685,7.287413e-05,0.20159788
22674,1,3296,241.8512,2.0816922e-05,0.20159788
22675,1,3296,242.49652,0.0,0.20159788
22676,1,3296,242.9461,2.6002526e-06,0.20159788
22677,1,3296,245.26642,2.0816922e-05,0.20159788
22678,1,3296,243.81978,0.0,0.20159788
22679,1,3297,241.76752,2.862513e-05,0.20163295
22680,1,3297,242.64685,7.287413e-05,0.20163295
22681,1,3297,241.84978,2.0816922e-05,0.20163295
22682,1,3297,242.49936,0.0,0.20163295
22683,1,3297,242.9461,2.6002526e-06,0.20163295
22684,1,3297,245.26642,2.0816922e-05,0.20163295
22685,1,3297,243.82262,0.0,0.20163295
22686,1,3298,241.76752,2.862513e-05,0.2016797
22687,1,3298,242.64685,7.287413e-05,0.2016797
22688,1,3298,241.84978,2.0816922e-05,0.2016797
22689,1,3298,242.49936,0.0,0.2016797
22690,1,3298,242.94753,2.6002526e-06,0.2016797
22691,1,3298,245.26501,2.0816922e-05,0.2016797
22692,1,3298,243.82262,0.0,0.2016797
22693,1,3299,241.76752,2.862513e-05,0.20172647
22694,1,3299,242.64685,7.287413e-05,0.20172647
22695,1,3299,241.84978,2.0816922e-05,0.20172647
22696,1,3299,242.49936,0.0,0.20172647
22697,1,3299,242.94753,2.6002526e-06,0.20172647
22698,1,3299,245.26501,2.0816922e-05,0.20172647
22699,1,3299,243.82404,0.0,0.20172647
22700,1,3300,241.76468,2.862513e-05,0.20174983
22701,1,3300,242.64827,7.287413e-05,0.20174983
22702,1,3300,241.84978,2.0816922e-05,0.20174983
22703,1,3300,242.49936,0.0,0.20174983
22704,1,3300,242.94894,2.6002526e-06,0.20174983
22705,1,3300,245.26501,2.0816922e-05,0.20174983
22706,1,3300,243.82545,0.0,0.20174983
22707,1,3301,241.76468,2.862513e-05,0.20179659
22708,1,3301,242.64827,7.287413e-05,0.20179659
22709,1,3301,241.84978,2.0816922e-05,0.20179659
22710,1,3301,242.50076,0.0,0.20179659
22711,1,3301,242.94894,2.6002526e-06,0.20179659
22712,1,3301,245.26501,2.0816922e-05,0.20179659
22713,1,3301,243.82545,0.0,0.20179659
22714,1,3302,241.76468,2.862513e-05,0.20184335
22715,1,3302,242.64827,7.287413e-05,0.20184335
22716,1,3302,241.84694,2.0816922e-05,0.20184335
22717,1,3302,242.50076,0.0,0.20184335
22718,1,3302,242.94894,2.6002526e-06,0.20184335
22719,1,3302,245.26218,2.0816922e-05,0.20184335
22720,1,3302,243.82828,0.0,0.20184335
22721,1,3303,241.76326,2.862513e-05,0.20189011
22722,1,3303,242.64827,7.287413e-05,0.20189011
22723,1,3303,241.84694,2.0816922e-05,0.20189011
22724,1,3303,242.50076,0.0,0.20189011
22725,1,3303,242.95178,2.6002526e-06,0.20189011
22726,1,3303,245.26218,2.0816922e-05,0.20189011
22727,1,3303,243.82828,0.0,0.20189011
22728,1,3304,241.76326,2.862513e-05,0.20192517
22729,1,3304,242.64827,7.0266426e-05,0.20192517
22730,1,3304,241.84694,2.0816922e-05,0.20192517
22731,1,3304,242.50076,0.0,0.20192517
22732,1,3304,242.95178,2.6002526e-06,0.20192517
22733,1,3304,245.26218,2.0816922e-05,0.20192517
22734,1,3304,243.8297,0.0,0.20192517
